UC Campus,CC,UC Course Requirement,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4,Courses Group 5
University of California Los Angeles,Evergreen Valley College,COM SCI 31,COMSC 041 (3.00),,,,
University of California Los Angeles,Evergreen Valley College,COM SCI 32,COMSC 076 (3.00); COMSC 041 (3.00),COMSC 042 (3.00); COMSC 076 (3.00),COMSC 042 (3.00),,
University of California Los Angeles,Evergreen Valley College,COM SCI 33,COMSC 077 (3.00),,,,
University of California Los Angeles,Evergreen Valley College,COM SCI 35L,Not Articulated,,,,
University of California Los Angeles,Evergreen Valley College,COM SCI M51A,Not Articulated,,,,
University of California Los Angeles,Evergreen Valley College,EC ENGR M16,Not Articulated,,,,
University of California Los Angeles,Evergreen Valley College,MATH 31A,MATH 066 (4.00),MATH 071 (5.00),,,
University of California Los Angeles,Evergreen Valley College,MATH 31B,MATH 067 (4.00),MATH 072 (5.00),,,
University of California Los Angeles,Evergreen Valley College,MATH 32A,MATH 073 (5.00),,,,
University of California Los Angeles,Evergreen Valley College,MATH 32B,MATH 073 (5.00),,,,
University of California Los Angeles,Evergreen Valley College,MATH 33A,MATH 079 (3.00),,,,
University of California Los Angeles,Evergreen Valley College,MATH 33B,MATH 078 (4.00),,,,
University of California Los Angeles,Evergreen Valley College,MATH 61,MATH 070 (4.00),,,,
University of California Los Angeles,Evergreen Valley College,PHYSICS 1A; PHYSICS 1B; PHYSICS 1C,PHYS 004A (5.00); PHYS 004B (5.00); PHYS 004C (5.00),PHYS 007A (4.00); PHYS 007B (4.00); PHYS 007C (4.00),,,
University of California Los Angeles,Evergreen Valley College,PHYSICS 4AL,Not Articulated,,,,
University of California Los Angeles,Evergreen Valley College,PHYSICS 4BL,Not Articulated,,,,
University of California Los Angeles,Evergreen Valley College,ENGCOMP 3,ENGL 001A (3.00),,,,
University of California Los Angeles,Evergreen Valley College,,ENGL 001B (3.00),ENGL 001C (3.00),,,
University of California Los Angeles,Evergreen Valley College,,ENGR 050 (4.00),,,,
University of California Merced,Evergreen Valley College,CSE 022,CIT 020 (3.00),CIT 044 (3.00),COMSC 041 (3.00),COMSC 075 (3.00),ENGR 050 (4.00)
University of California Merced,Evergreen Valley College,CSE 030,COMSC 042 (3.00),COMSC 076 (3.00),,,
University of California Merced,Evergreen Valley College,MATH 021,MATH 071 (5.00),MATH 066 (4.00),,,
University of California Merced,Evergreen Valley College,MATH 022,MATH 072 (5.00),MATH 067 (4.00),,,
University of California Merced,Evergreen Valley College,MATH 023,MATH 073 (5.00),,,,
University of California Merced,Evergreen Valley College,MATH 024,MATH 078 (4.00); MATH 079 (3.00),,,,
University of California Merced,Evergreen Valley College,PHYS 008; PHYS 008L,PHYS 004A (5.00),PHYS 007A (4.00),,,
University of California Merced,Evergreen Valley College,PHYS 009; PHYS 009L,PHYS 004B (5.00),PHYS 007B (4.00),,,
University of California Merced,Evergreen Valley College,CSE 015,COMSC 080 (3.00),MATH 070 (4.00),,,
